,productnaam,prijs
957,"toshiba n300 nas 12tb 3.5"" sata iii hdwg21cuzsva",309
958,akasa usb 3.1 gen 2 ultra slim aluminium enclosure for m.2 pcie nvme ssd zwart,68
959,"corsair force mp510 1,92tb m.2 ssd",201
960,seagate backup plus sthh2000400 externe harde schijf 2000 gb zwart,79
961,lc power lc-dock-u3-v hdd docking mit kopierfunktion,34
962,delock 62592 adapter m.2 ngff > msata,25
963,seagate expansion portable drive 1tb zwart,56
964,lacie rugged pro 4000 gb zwart externe ssd,1180
965,"western digital av-25 1tb 2.5"" 5400rpm sata 3 gb/s 16mb",86
966,"transcend storejet 25h3 4000gb zwart, paars",130
967,"seagate barracuda st2000dma08 interne harde schijf 3.5"" 2000 gb sata iii",85
968,silverstone sst-ecm24-argb interfacekaart/-adapter intern m.2,38
969,transcend 110s 256gb pci express 3.0 m.2 ssd,30
970,"samsung pm983 internal solid state drive 2.5"" 3840 gb pci express 3.0 v-nand mlc nvme ssd",969
971,patriot memory vpn100 256gb nvme pcie 3.0 m.2 ssd,55
972,corsair force mp510b 960gb m.2 ssd,120
973,sandisk g-drive pro externe harde schijf 12000 gb roestvrijstaal,839
974,corsair force mp600 pro nh 4tb m.2 ssd,619
975,silicon power sp120gbss3s55s25 interne harde schijf ssd,18
976,western digital blue 500 gb,57
977,"wd hdd 3.5"" 2tb s-ata3 wd2005fbyz gold",119
978,adata ultimate su800 256gb 256gb ssd,45
979,adata ultimate su800 512gb ssd,56
980,toshiba hdd p300 500gb,45
981,delock external usb type-c© combo enclosure for m.2 nvme pcie or sata ssd interfacekaart/-adapter,74
982,silverstone sst-ecm20 interfacekaart/-adapter,24
983,synology d3ns1866l-4g,73
984,lacie rugged raid shuttle 8tb mobile drive usb-c usb 3.1,549
985,corsair force mp600 gs 500gb m.2 ssd,64
986,seagate ironwolf 525 2tb m.2 ssd,429
987,wd red sn700 500gb m.2 ssd,66
988,emtec x210 elite 256 gb zwart externe ssd,52
989,toshiba p300 3tb,91
990,western digital re - [wd2004fbyz],177
991,delock 42600 m.2 nvme externe behuizing usb 3.1 type-c,56
992,intenso premium 500gb pcie nvme m.2 ssd,43
993,"seagate hdd nas 3.5"" 10tb st10000ne0008 ironwolf pro",629
994,"sandberg usb 3.0 to sata box 2.5"" 2.5"" hdd-/ssd-behuizing zwart",17
995,qnap ts-433 nas tower ethernet lan cortex-a55 nas,449
996,"seagate hdd nvr 3.5"" 12tb skyhawk ai",299
997,"inter-tech hd-25620 hdd-behuizing zwart, wit 2.5""",12
998,"kioxia exceria 2.5"" 960 gb sata tlc ssd",74
999,pny xlr8 cs3140 2000 gb pci express 4.0 3d nand nvme m.2 ssd,489
1000,gigabyte aorus gen4 7000s 2tb m.2 ssd,269
1001,corsair ex100u 2tb externe ssd,209
1002,sandberg usb 3.0 hard disk cloner,51
1003,kingston technology ironkey vault privacy 80 960 gb blauw externe ssd,409
1004,g-technology g-drive ev raw,115
1005,"case logic externe harddisk case, zwart, 2.5""",9
1006,western digital blue wd60ezrz 6tb,219
1007,startech.com universeel docking station voor harde schijven usb 3.0 met uasp,91
1008,"icy dock mb795sp-b 2x 2.5” & 1x 3.5” sata docking behuizing voor 5,25""",64
1009,synology diskstation ds120j 88f3720 ethernet lan compact wit nas,249
1010,lacie 6big thunderbolt 3 48tb,4440
1011,qnap ts-473a nas tower ethernet lan zwart v1500b nas,1020
1012,"seagate ironwolf st12000vna008 interne harde schijf 3.5"" 12000 gb sata iii",655
1013,"toshiba mg08-d 3.5"" 6000 gb sata iii",187
1014,delock 62429 converter macbook air ssd > sata 22pin,20
1015,inter-tech ipc sc-4100,99
1016,adata sd700 256gb micro-usb b 3.0 (3.1 gen 1) zwart externe ssd,102
1017,adata ultimate su700 sata iii - [asu700ss-120gt-c] ssd,68
1018,seagate backup plus ultra touch externe harde schijf 1000 gb zwart,70
1019,western digital wd5000azlx,59
1020,toshiba canvio basics 2tb externe hdd usb 3.2 gen1 incl. usb type-c adapter,68
1021,"western digital av-gp, 3tb, sataiii",143
1022,"samsung mz7l3960hcjr-00a07 internal solid state drive 2.5"" 960 gb sata iii tlc ssd",139
1023,lacie 2big dock disk array 28 tb desktop zwart,1640
1024,lexar nm760 512gb pci express 4.0 3d tlc nvme m.2 ssd,59
1025,wd blue 500gb - [wds500g1b0a] ssd,142
1026,"toshiba mg08-d 8tb 3.5"" sata iii mg08ada800e",209
1027,transcend mte110q 1tb nvme pcie gen3 x4 m.2 ssd,63
1028,"toshiba x300 3.5"" 14000 gb sata iii",519
1029,"wd hdd 3.5"" 22tb s-ata3 wd221kryz gold",649
1030,freecom mdock keypad secure 2.5 dockingstation usb 3.1 gen 1,12
1031,lc-power lc-m2-c-nvme behuizing voor opslagstations m.2 sdd-behuizing zwart,31
1032,western digital purple wd102purz 10tb,399
1033,"western digital wd10spsx interne harde schijf 2.5"" 1000 gb sata iii",84
1034,conceptronic abby01b kabeladapter/verloopstukje usb a sata zwart,11
1035,"wd hdd 3.5"" 12tb s-ata3 256mb wd120efax red",429
1036,transcend 230s 128gb ssd,33
1037,"samsung x5 2000gb zwart, rood externe ssd",549
1038,"adata su750 internal solid state drive 2.5"" 512 gb sata iii 3d tlc ssd",70
1039,innovation it 1tb innovationit black retail m.2 ssd,64
1040,patriot memory p300 1tb pcie 3.0 m.2 ssd,115
1041,western digital ultrastar sn260 half-height/half-length (hh/hl) 6400 gb pci express 3.0 mlc nvme ssd,3930
1042,"transcend esd370c 1000 gb zwart, blauw externe ssd",97
1043,innovation it m.2 2tb innovationit performance+ (2gb dram) nvme pcie retail 2000 gb pci express ssd,137
1044,silicon power armor a60 - [sp020tbphda60s3k],88
1045,"gembird mf-543 montagekit 5.25"" > 3.5""",4
1046,wd green 1tb sata ssd,83
1047,icy box ib-ac6251 behuizing voor 2.5,6
1048,synology hdd tray type r5,25
1049,transcend storejet 25h3p 1tb paars,69
1050,intenso premium 250gb pcie nvme m.2 ssd,31
1051,synology psu 100w_4 power supply unit 100 w 1u multi kleuren,86
1052,"fantec db-f35u3 hdd behuizing 3,5""",22
1053,verbatim vi550 2.5 1tb sata iii ssd,74
1054,logilink ua0133 hdd/ssd-behuizing,5
1055,transcend 230s 512gb ssd,73
1056,seagate enterprise performance 10k.9 1800gb sas interne harde schijf - [st1800mm0129],259
1057,transcend 230s 256gb ssd,52
1058,"samsung pm983 internal solid state drive 2.5"" 960 gb pci express 3.0 v-nand mlc nvme ssd",229
1059,samsung pm1735 hhhl 6400 gb 4.0 nvme ssd pci-e,1530
1060,"kioxia exceria 2.5"" 240 gb sata iii tlc ssd",45
1061,lacie d2 professional 18tb,659
1062,xpg spectrix s20g 500 gb pci express 3.0 3d nand nvme m.2 ssd,52
1063,seagate game drive firecuda externe harde schijf 5000 gb zwart,171
1064,corsair ex100u 1tb externe ssd,119
1065,western digital 2tb desktop performance,162
1066,western digital 3tb desktop mainstream,140
1067,western digital wd40eurx interne harde schijf,179
1068,"intenso memory drive 2.5"" 1tb usb 3.0 incl. sleeve zwart",62
1069,seagate enterprise 8tb - [st8000nm0055],339
1070,"samsung pm893 2.5"" 480 gb sata iii v-nand tlc ssd",71
1071,akasa ak-hda-05 computerbehuizing onderdelen,10
1072,toshiba l200 hdd 2000gb sata iii interne harde schijf - [hdwl120uzsva],77
1073,"seagate hdd 3.5"" exos 7e8 512n 4tb",145
1074,"seagate ironwolf pro st16000nt001 interne harde schijf 3.5"" 16000 gb",439
1075,lacie 2big dock usb-c 32tb thunderbolt 3 usb 3.0,1850
1076,verbatim vi560 s3 256gb m.2 ssd,28
1077,"wd hdd 3.5"" 16tb ultrastar dc hc550",289
1078,"seagate enterprise st18000nm004j interne harde schijf 3.5"" 18000 gb sas",389
1079,synology diskstation ds220+ j4025,619
1080,"wd hdd 3.5"" 4tb s-ata3 128mb wd4002fyyz gold",219
1081,"icy box ib-121cl-c31 usb 3.1 (3.1 gen 2) type-c zwart hdd/ssd-dockingstation 2x3,5""",100
1082,"icy box ib-377u3 hdd enclosure 3.5"" zwart",31
1083,innovation it 256gb innovationit black nvme pcie 3d tlc retail m.2 ssd,27
1084,pny xlr8 cs3040 2000 gb pci express 4.0 3d nand nvme m.2 ssd,429
1085,transcend 4tb storejet 35t3 - [ts4tsj35t3],153
1086,seagate ironwolf 525 500 gb pci express 4.0 3d tlc nvme m.2 ssd,127
1087,toshiba p300 1tb,59
1088,delock 62551 converter sata 22 pin > m.2 ngff,35
1089,"toshiba x300 12tb 3.5"" sata iii hdwr21cuzsva",299
1090,"western digital black 3.5"" 6000 gb sata iii",369
1091,"icy dock tougharmor mb834m2k-b 2xm.2 pcie nvme mobile rack voor externe 3,5"" met slot",249
1092,"toshiba s300 surveillance 3.5"" 2000 gb sata iii",70
1093,"western digital wd121purp interne harde schijf 3.5""",319
1094,logilink enclosure 2.5 inch s-ata hdd usb 2.0 alu,9
1095,"assmann electronic da-71104 2.5"" zwart opslagbehuizing",10
1096,transcend 110s 512gb pci express 3.0 m.2 ssd,44
1097,innovation it 00-256555 internal solid state drive 256 gb pci express m.2 ssd,23
1098,toshiba mg04 6tb - [mg04aca600e],193
1099,wd red sn700 250gb m.2 ssd,71
1100,kingston xs2000 4tb externe ssd,459
1101,lacie 2big dock disk array 36 tb desktop zwart,2030
1102,mushkin vortex m.2 2000 gb pci express 4.0 3d nand nvme ssd,180
1103,inter-tech 88885232 opslagbehuizing,4
1104,seagate enterprise st6000nm0125 6000gb sata iii interne harde schijf,339
1105,"seagate hdd 3.5"" 2tb st2000dm005 barracuda",68
1106,"seagate ironwolf pro st8000nt001 interne harde schijf 3.5"" 8000 gb",259
1107,"seagate hdd 3.5"" exos x16 12tb",339
1108,"western digital ultrastar 16 tb, sas 12 gb/s, 512e, base(se) 3.5""",469
1109,"wd hdd 3.5"" 14tb s-ata3 512mb wd140effx red",819
1110,delock 62699 intern m.2,72
1111,"adata sd700 1000gb usb type-a 3.0 (3.1 gen 1) zwart, geel externe ssd",141
1112,transcend 830s 256 gb serial ata iii m.2 ssd,44
1113,pny cs2130 1tb m.2 ssd,111
1114,kioxia exceria 250 gb pci express 3.1a tlc nvme m.2 ssd,52
1115,toshiba canvio basics 1tb externe hdd usb 3.2 gen1 incl. usb type-c adapter,63
1116,western digital 2tb desktop mainstream,109
1117,samsung portable t3 1tb externe ssd,419
1118,lenovo 500gb 7.2k sata 7mm,97
1119,"adata ultimate su650 2.5"" 256 gb sata iii 3d nand ssd",23
1120,transcend 110s 2000 gb pci express 3.0 3d nand nvme m.2 ssd,124
1121,synology adapter 100w_2,70
1122,startech.com usb 3.0 naar sata of ide harde schijf adapter / converter,58
1123,"seagate hdd nvr 3.5"" 1tb skyhawk",48
1124,hgst ultrastar dc hc530 interne harde schijf hdd 14000 gb sata iii,319
1125,"seagate skyhawk ai 20 tb 3.5"" 20000 gb sata iii",469
1126,lc-power lc-m2-c-multi-2 behuizing voor opslagstations sdd-behuizing antraciet m.2,32
1127,"lc-power lc-35u3-c behuizing voor opslagstations hdd-/ssd-behuizing zwart 3.5""",29
1128,conceptronic emrick05bs interfacekaart/-adapter,17
1129,"icy box ib-rd3621-c31 raid behuizing 2x3,5""",101
1130,synology diskstation ds220+ j4025,759
1131,western digital purple pro wd180purp 18tb,459
1132,"gembird ee3-u3s-3 hdd enclosure 3.5"" zwart opslagbehuizing",22
1133,adata sd700 512gb 3.0 (3.1 gen 1) zwart externe ssd,269
1134,pny cs1030 2tb m.2 ssd,169
1135,lexar nm610 500 gb pci express 3.0 3d tlc nvme m.2 ssd,66
1136,western digital p10 externe harde schijf 2000 gb zwart,120
1137,"delock 18205 montagekit  2,5"" naar 3,5""",9
1138,"icy box ib-276u3 externe 2,5"" behuizing waterdicht",20
1139,inter-tech veloce gd-35612 stroomvoorziening via usb,21
1140,western digital 320gb av,69
1141,seagate enterprise st6000nm0115 6000gb sata iii interne harde schijf,279
1142,"icy box ib-2538sts 3,5"" naar 2,5"" converter",14
1143,lc-power lc-dock-u3-4b basisstation voor opslagstations usb 3.0 type-a zwart,91
1144,"seagate ironwolf pro st12000nea008 interne harde schijf 3.5"" 12000 gb sata iii",596
1145,"fantec 2219 behuizing voor opslagstations hdd-/ssd-behuizing zwart 2.5/3.5""",25
1146,"western digital wd purple surveillance 3.5"" 6000 gb sata iii",289
1147,icy box ib-1823mf-c31 externe m.2 behuizing usb c,64
1148,hgst ultrastar 7k6 6000gb sata iii interne harde schijf,219
1149,lacie 2big dock thunderbolt 3 8000gb desktop grijs disk array,819
1150,xpg sx6000 lite internal solid state drive 1000 gb pci express 3.0 3d tlc nvme m.2 ssd,79
1151,"team group delta rgb internal solid state drive 2.5"" 500 gb sata iii [t253tr500g3c413] ssd",87
1152,western digital blue wd10jpvx 1tb,63
1153,corsair force mp600 core 1tb m.2 ssd,127
1154,startech bracket voor 3.5 floppy met bezel,8
1155,conceptronic 2.5/3.5 inch hard disk docking station usb 3.0,27
1156,"samsung pm9a3 2.5"" 3840 gb pci express 4.0 v-nand tlc nvme ssd",429
1157,"western digital wd22purz interne harde schijf 3.5"" 2000 gb sata",71
1158,fujitsu moggridge 15 notebooktas nas,102
1159,verbatim secure enclosure kit keypad access 2.5 usb 3.2 gen 1,10
1160,transcend storejet h3b 1tb 2.5 usb 3.0,69
1161,"icy box ib-2502cl-u3 zwart usb docking station 2x2,5""",39
1162,qnap ts-453bt3 nas toren ethernet lan zwart nas,1280
1163,supermicro mcp-220-00043-0n drive bay panel,21
1164,"icy box ib-233u3-b externe 2,5"" behuizing stootranden",17
1165,"icy box ib-ac729 spacer voor 7mm 2,5"" schijven naar 9mm",3
1166,"icy box ib-241wp externe 2,5"" behuizing sata antraciet",18
1167,"hgst ultrastar 7k2, 1 tb 1000gb sata iii interne harde schijf",101
1168,transcend mts400 sata iii - [ts128gmts400s] 128gb m.2 ssd,73
1169,gigabyte aorus gen4 1tb m.2 ssd,124
1170,goodram hx100 256 gb zwart externe ssd,52
1171,toshiba mc04aca400e interne harde schijf,171
1172,xpg gammix s70 blade 512 gb pci express 4.0 3d nand nvme m.2 ssd,75
1173,synology hdd tray type d3,13
1174,"logilink ua0275 2.5"" sata opslagbehuizing usb",12
1175,delock 63909 intern m.2 interfacekaart/-adapter,38
1176,synology diskstation ds218play ironwolf 8tb 2x 4tb ethernet lan compact zwart nas,519
1177,qnap ts-453e nas tower ethernet lan zwart j6412 nas,859
1178,"seagate enterprise st2000nm000a interne harde schijf 3.5"" 2000 gb sata",163
1179,"icy box mb705m2p-b m.2 pcie to 2,5 u.2 adapter",48
1180,"seagate ironwolf pro st8000nea01 interne harde schijf 3.5"" 8000 gb sata iii",474
1181,"startech.com dubbele 2,5 inch naar 3,5 inch hdd-steun voor sata harde schijven 2,5 inch naar 3,5 inc",13
1182,"assmann m.2 behuizing, m.2-usb 3.1 m.2""",46
1183,wd green 240gb - [wds240g2g0a] ssd,99
1184,solidigm p41plus 1tb m.2 ssd,99
1185,goodram hl100 512 gb grijs externe ssd,73
1186,transcend 240s 500gb pcie 4.0 m.2 ssd,78
1187,verbatim 53656 512 gb grijs externe ssd,95
1188,silicon power sp240gbss3s55s25 interne harde schijf ssd,26
1189,western digital 1tb desktop mainstream,70
1190,goodram hx100 512 gb zwart externe ssd,74
1191,corsair force mp600 pro lpx 4tb m.2 ssd,799
1192,"intenso memory play 2.5"" 1tb usb 3.0 zwart",67
1193,goodram px500 gen.2 m.2 1000 gb pci express 3.0 3d nand nvme ssd,73
1194,seagate enterprise st4000nm0035 4000gb sata iii interne harde schijf,229
1195,wd green 240gb - [wds240g1g0b] m.2 ssd,44
1196,g-technology g-drive ev raw 3.0 (3.1 gen 1) 500gb zwart,239
1197,"i-tec mysafeu314 hdd-/ssd-behuizing 2.5"" wit storage drive enclosure",10
1198,"toshiba x300 14tb 3.5"" sata iii hdwr21euzsva",329
1199,"seagate exos x16 3.5"" 14000 gb",312
1200,"western digital ultrastar dc hc330 3.5"" 10000 gb sata iii",289
1201,"icy box ib-2501u3 zwart usb docking station 2,5""",23
1202,"icy box ib-ir3521 interal raid 2x3,5""+1x 2,5"" in 2x 5,25",94
1203,fantec db-alu31 zwart 3.5 sata usb 3.1 typ-c,34
1204,"logilink ad0009 montagebeugel voor 2,5 inch hdd in 3,5 inch bay",5
1205,verbatim store n go 2tb secure portable usb 3.1,99
1206,"team group gx1 - solid-state-disk - 240 gb - intern - 2.5\"" (6.4 cm) - sata 6gb/s internal solid sta ssd",22
1207,innovation it 00-1024999 interne solide-state drive ssd,64
1208,corsair mp510 m.2 ssd,619
1209,adata se770g 512 gb zwart externe ssd,75
1210,goodram hl100 1024 gb grijs externe ssd,131
1211,transcend 240s 1tb pcie 4.0 m.2 ssd,94
1212,ocz revo 350 240gb ssd pci-e,409
1213,"logilink ua0256 2.5"" sata behuizing usb zwart",15
1214,"seagate barracuda st4000dma04 interne harde schijf 3.5"" 4000 gb sata iii",141
1215,verbatim vi550 2.5 128gb sata iii ssd,18
1216,akasa ak-enu3m2-02 behuizing voor opslagstations m.2 ssd enclosure zwart,31
1217,act ac1504 basisstation voor opslagstations usb 3.2 gen 1 (3.1 gen 1) type-b zwart,39
1218,western digital purple wd82purz 8tb,349
1219,tp-link tapo h100,29
1220,"western digital ultrastar 18 tb, sas 12 gb/s, 512e, base(se) 3.5""",348
1221,synology diskstation ds220+ j4025,599
1222,icy box ib-ac620 hardcase 4x m.2 drive,14
1223,logilink au0011 kabeladapter/verloopstukje usb 2.0 naar sata,8
1224,"wd hdd 3.5"" 8tb s-ata3 256mb wd8003fryz gold",419
1225,"icy box-277-c3 hdd-/ssd-behuizing 2.5"" zwart opslagbehuizing",16
1226,"fantec hdd-sneaker 2 usb 3.1 docking station voor 2,5""en 3,5"" hdd usb-c",35
1227,"seagate sshd 2.5"" 2tb st2000lx001 firecuda",115
1228,transcend m.2 ssd enclosure kit,28
1229,transcend mts420 120gb m.2 ssd,25
1230,"digitus da-71105 hdd-/ssd-behuizing 2.5"" zwart opslagbehuizing",12
1231,"intel ® d3-s4610 series (240gb, 2.5in sata 6gb/s, 3d2, tlc) ssd",131
1232,transcend 430s 128 gb sata iii m.2 ssd,30
1233,transcend ts1tmte220s internal solid state drive 1000 gb pci express 3.0 nvme m.2 ssd,153
1234,adata spectrix s40g internal solid state drive m.2 ssd,44
1235,western digital black wd5003azex 500gb,81
1236,toshiba hdtx140ek3ca externe harde schijf 4000 gb grijs,120
1237,corsair force mp600 pro 2tb hydro x edition m.2 ssd,439
1238,"transcend 250n 2.5"" 1000 gb sata iii 3d nand ssd",168
1239,"gembird mf-321 2.5"" montagekit",4
1240,corsair force mp600 pro lpx 500gb m.2 ssd,96
1241,verbatim store n go portable 1000gb usb 3.0 zwart 53023,62
1242,adata legend 710 512 gb pci express 3.0 3d nand nvme m.2 ssd,39
1243,msi spatium m390 nvme 500gb internal solid state drive pci express 3d nand m.2 ssd,70
1244,"logilink ua0107a opslagbehuizing 3,5"" sata usb",24
1245,"synology hat5310-8t interne harde schijf 3.5"" 8000 gb sata iii",359
1246,fantec qb-x2u31r schwarz 2 x 3.5 sata raid hdd usb 3.1,127
1247,manhattan 130530 behuizing voor opslagstations m.2 sdd-behuizing zwart,55
1248,icy dock mb861u31-1m2b externe m.2 nvme pcie ssd behuizing naar usb 3.2 (10gbps),62
1249,icy box ib-ac6025-3 case voor opslagstations,15
1250,seagate constellation constellation.2 1tb - [st1000nx0313],229
1251,transcend 220s 120gb 2.5 sata iii tlc ssd,22
1252,hgst ultrastar he12 12000gb sas interne harde schijf - [0f29532],399
1253,"samsung pm883 960 gb sata iii 2.5"" ssd",195
1254,emtec ec256gx200 256 gb externe ssd,45
1255,gigabyte al vision 1tb externe ssd,176
1256,transcend esd370c 250gb usb-c usb 3.1 gen 2 externe ssd,70
1257,lacie 6big thunderbolt 3 disk array 60 tb desktop zilver,5170
1258,"team group t-force vulcan g t253tg001t3c301 internal solid state drive 2.5"" 1000 gb sata iii 3d tlc ssd",98
1259,verbatim 53657 1000 gb grijs externe ssd,151
1260,qnap ts-251+ nas,689
1261,western digital green sn350 480 gb pci express 3.0 nvme m.2 ssd,45
1262,"seagate one touch hub externe harde schijf 10000 gb zwart, grijs",219
1263,synology hdd tray d6,12
1264,transcend 250s m.2 2tb pci express 4.0 3d nand nvme ssd,181
1265,fantec alu15mmu3,21
1266,msi spatium m450 500gb m.2 ssd,54
1267,western digital 500gb 64mb 6gb/s 5400rpm 500gb sata iii,73
1268,wd green 240gb - [wds240g1g0a] ssd,96
1269,"seagate hdd nvr 3.5"" 3tb skyhawk",83
1270,icy box ib-ac705-6g 3.5 usb 3.0 combi behuizing,27
1271,lc-power lc-dock-u3-hub basisstation voor opslagstations,40
1272,i-tec c31mysafem2 behuizing voor opslagstations m.2 ssd enclosure zwart,26
1273,adata xpg gammix s11 pro nvme 512gb pcie gen3x4 m.2 ssd,57
1274,synology diskstation ds218play ethernet lan compact zwart nas,499
1275,"seagate enterprise st12000nm000j interne harde schijf 3.5"" 12000 gb sata iii",339
1276,"seagate st2000nm003a interne harde schijf 3.5"" 2000 gb sas",163
1277,"seagate exos x18 3.5"" 16000 gb sata iii",299
1278,icy dock mb901spr-b computerbehuizing onderdelen universeel hdd-behuizing,35
1279,qnap tvs-472xt nas tower ethernet lan i3-8100t nas,1690
1280,kioxia exceria plus g2 1tb nvme 2280 m.2 ssd,111
1281,"startech.com 3,5 inch universele harde schijf montagebeugel adapter voor 5,25 inch bay",5
1282,synology adapter 36w set 36w zwart netvoeding & inverter,29
1283,transcend jetdrive 820 480gb m.2 ssd,186
1284,intenso high 480gb m.2 ssd,47
1285,"kingston technology dc500 internal solid state drive 2.5"" 480 gb sata iii 3d tlc [sedc500m/480g] ssd",122
1286,transcend esd240c 240 gb zilver externe ssd,44
1287,seagate firecuda gaming 500gb usb3.1 type-c nvme e black externe ssd,144
1288,"western digital ultrastar dc sn640 2.5"" 3840 gb pci express 3.1 3d tlc nvme ssd",589
1289,adata swordfish 2000 gb pci express 3.0 3d nand nvme m.2 ssd,164
1290,samsung pm9a3 u.2 1920 gb pci express 4.0 ssd,249
1291,"icy-box ib-168sk-b trayless mobile rack  3.5"" sata",21
1292,delock 61896 drive bay panel 2 port usb,23
1293,"logilink ad0013 logilink ad0011 3,5 to 2,5 bracket intern",6
1294,"synology 2.5"" sata 480gb 2.5"" sata iii ssd",219
1295,synology snv3510 400 gb pci express 3.0 nvme m.2 ssd,209
1296,fantec db-alu 3 3.5 behuizing,27
1297,kingston technology ironkey vault privacy 80 480 gb blauw externe ssd,349
1298,mushkin tempest 2000 gb pci express 3.0 3d nand nvme m.2 ssd,145
1299,"icy dock mb343sp 2x2,5""+1x3,5"" sata front bay to extern 5,25""",18
1300,digitus dn-95104 grijs,73
1301,"startech.com usb 3.0 dubbel harddisk docking station met uasp voor 2,5/3,5 inch ssd / hdd sata 6 gbp",91
1302,logilink au0012a sata usb 3.0 zwart kabeladapter/verloopstukje,13
1303,fractal design ssd bracket kit - type a black,9
1304,gembird aus3-02 kabeladapter/verloopstukje usb 3.0 sata iii zwart,12
1305,transcend mte110q 500gb nvme pcie gen3 x4 m.2 ssd,40
1306,icy box ib-1807mt-c31 behuizing voor opslagstations sdd-behuizing zwart m.2,32
1307,raidsonic ib-1124l-c3 basisstation voor opslagstations zwart,35
1308,startech.com sdock2u33v usb 3.0 (3.1 gen 1) type-b zwart hdd/ssd-dockingstation,75
1309,silverstone pp08,10
1310,"icy box - [ib-554ssk] vergrendelbare 4x 3,5"" behuizing met backplane",219
1311,transcend mts820 sata iii - [ts240gmts820s] m.2 ssd,38
1312,intel dc p4510 series 2.0tb 2.5in ssd,599
1313,"samsung x5 500gb zwart, rood externe ssd",249
1314,lacie rugged pro 2000 gb zwart externe ssd,529
1315,"kingston technology kc600 2.5"" 256 gb sata iii 3d tlc ssd",68
1316,samsung pm1735 half-height/half-length (hh/hl) 1600 gb 4.0 nvme ssd pci-e,559
1317,lexar professional nm800 512gb m.2 ssd,113
1318,"goodram cx400 gen.2 2.5"" 1024 gb sata iii 3d tlc nand ssd",72
1319,pny xlr8 cs3040 1000 gb pci express 4.0 3d nand nvme m.2 ssd,219
1320,pny xlr8 cs3140 1000 gb pci express 4.0 3d nand nvme m.2 ssd,249
1321,"kioxia pm6-v 2.5"" 6400 gb sas bics flash tlc ssd",2570
1322,lacie rugged usb-c 4tb externe ssd,939
1323,intel pe2kx010t807 internal solid state drive u.2 1000 gb pci express 3.1 tlc 3d nand nvme ssd,369
1324,"adata asu650ss-512gt-r internal solid state drive 2.5"" 512 gb sata iii 3d nand ssd",38
1325,corsair mp600 2000 gb pci express 4.0 3d tlc nand nvme m.2 ssd,229
1326,patriot memory vpn110-2tb8h internal solid state drive 2000 gb pci express nvme m.2 ssd,209
1327,wd green 480gb sata ssd,43
1328,transcend jet 520 960gb macbook air 11 /13 midden 2012 externe ssd,459
1329,"samsung pm893 2.5"" 1920 gb sata iii v-nand tlc ssd",239
1330,fastro ms250 2tb m.2 ssd,167
1331,seagate 6tb backup,140
1332,adata sx6000 1tb pcie gen3x4 m.2 ssd,81
1333,western digital blue wd80eazz 8tb,219
1334,"seagate enterprise exos x20 3.5"" 20000 gb sas",439
1335,synology hdd hat5300 4tb,204
1336,"icy box ib-3805-c31 externe 5x3,5"" behuizing sata",339
1337,"dell 400-bjru interne harde schijf 3.5"" 1000 gb sata iii",38
1338,synology ds218play red 8tb 2x 4tb,529
1339,icy box ib-1922mf-c32 behuizing voor opslagstations m.2 zilver actief gekoeld,63
1340,"icy box ib-g226l-c31 behuizing voor opslagstations 2.5""",36
1341,lc power lc-m2-c-nvme-2x2,47
1342,"asus as6004u hdd-/ssd-behuizing 2.5/3.5"" zwart",309
1343,"silicon power armor a30 hdd-/ssd-behuizing zwart, oranje",14
1344,"icy box ib-233u3-wh externe 2,5"" behuizing sata stootrand wit",17
1345,fantec alu31msata msata usb 3.1 typ c beschermhoes,33
1346,transcend jetdrive 820 pci express 3.0 - [ts960gjdm820] m.2 ssd,289
1347,owc aura pro x 480 gb pci experess [owcs3dapb4mb05] ssd pci-e,335
1348,"kingston technology dc500 internal solid state drive 2.5"" 1920 gb sata iii 3d tlc [sedc500r/1920g] ssd",339
1349,western digital green sn350 240 gb pci express 3.0 nvme m.2 ssd,32
1350,corsair mp600 pro xt hydro x edition 2000 gb pci express 4.0 3d tlc nand nvme m.2 ssd,279
1351,wd red sn700 2tb m.2 ssd,206
1352,msi m390 1000 gb pci express 3d nand nvme m.2 ssd,115
1353,sandisk g-drive externe harde schijf 12000 gb roestvrijstaal,509
1354,"startech.com usb 3.1 (10bps) harddisk docking station voor één 2,5/3,5"" sata ssd/hdd schijf",73
1355,"western digital blue wd5000lp 2.5"" 500 gb sata iii",46
1356,kioxia exceria g2 nvme 2tb nvme 2280 m.2 ssd,176
1357,"synology hat5310-18t interne harde schijf 3.5"" 18000 gb sata iii",819
1358,qnap ts-431p3 al314 ethernet lan tower wit nas nas,449
1359,qnap ts-h886-d1622 d-1622 ethernet lan tower zwart nas nas,2300
1360,unitek y-3026 basisstation voor opslagstations usb 3.2 gen 1 (3.1 gen 1) type-b aluminium,44
1361,owc owctb3ex4m2sl behuizing voor opslagstations sdd-behuizing zwart m.2,519
1362,"startech.com  trayless hot-swappable mobile rack backplane 4x 3,5 inch sas ii/sata",123
1363,delock 62688 opslagbehuizing,29
1364,"adata sd700 512gb micro-usb b 3.0 (3.1 gen 1) zwart, geel externe ssd",269
1365,transcend mts420 sata iii - [ts240gmts420s] m.2 ssd,32
1366,"intel ® d3-s4610 series (960gb, 2.5in sata 6gb/s, 3d2, tlc) ssd",249
1367,transcend 830s 512 gb sata iii m.2 ssd,53
